bio,lemmatized_tokens,flag_classification,reason
"Cat parent, ghosted recently.","['cat', 'parent', 'ghosted', 'recently']",🤷‍♂️No Clear Signal,[]
"Loves karaoke, dancing in the rain, and chocolate.","['love', 'karaoke', 'dancing', 'rain', 'chocolate']",🌿Green Flag,"['love', 'dancing']"
"likes hugs, honesty, and holding hands","['like', 'hug', 'honesty', 'holding', 'hand']",🌿Green Flag,['honesty']
obsessed w shoes,"['obsessed', 'w', 'shoe']",🚩Red Flag,['obsessed']
"Loves cats, coffee, and cozy nights.","['love', 'cat', 'coffee', 'cozy', 'night']",🌿Green Flag,"['love', 'coffee']"
sarcasm is my cardio,"['sarcasm', 'cardio']",🚩Red Flag,['sarcasm']
"Fitness lover, nap enthusiast.","['fitness', 'lover', 'nap', 'enthusiast']",🌿Green Flag,"['lover', 'enthusiast']"
lol hi,"['lol', 'hi']",🤷‍♂️No Clear Signal,[]
chaos incarnate,"['chaos', 'incarnate']",🚩Red Flag,['chaos']
pizza is bae,"['pizza', 'bae']",🌿Green Flag,['pizza']
love dogs,"['love', 'dog']",🌿Green Flag,"['love', 'dog']"
never on time,"['never', 'time']",🤷‍♂️No Clear Signal,[]
loves long walks,"['love', 'long', 'walk']",🌿Green Flag,['love']
bored here,['bored'],🤷‍♂️No Clear Signal,[]
i ghost,['ghost'],🚩Red Flag,['ghost']
"I binge, nap, repeat.","['binge', 'nap', 'repeat']",🤷‍♂️No Clear Signal,[]
"Marathon runner, occasionally selfish.","['marathon', 'runner', 'occasionally', 'selfish']",🤷‍♂️No Clear Signal,[]
Fluent in movie quotes and bad jokes.,"['fluent', 'movie', 'quote', 'bad', 'joke']",🙂Mixed Signal,"['fluent', 'bad']"
Flirting: my full-time sport,"['flirting', 'fulltime', 'sport']",🤷‍♂️No Clear Signal,[]
spontaneous but broke,"['spontaneous', 'broke']",🚩Red Flag,['broke']
Currently training for a snack marathon,"['currently', 'training', 'snack', 'marathon']",🤷‍♂️No Clear Signal,[]
"I laugh at memes, cry at sunsets.","['laugh', 'meme', 'cry', 'sunset']",🌿Green Flag,['laugh']
love sarcasm & chaos,"['love', 'sarcasm', 'chaos']",🙂Mixed Signal,"['love', 'sarcasm', 'chaos']"
i laugh weirdly,"['laugh', 'weirdly']",🙂Mixed Signal,"['laugh', 'weirdly']"
swipe right if you don’t ghost,"['swipe', 'right', 'dont', 'ghost']",🙂Mixed Signal,"['dont', 'ghost']"
drinks coffee constantly,"['drink', 'coffee', 'constantly']",🌿Green Flag,['coffee']
"Dog mom, chaos enthusiast","['dog', 'mom', 'chaos', 'enthusiast']",🙂Mixed Signal,"['dog', 'enthusiast', 'chaos']"
dog mom in training,"['dog', 'mom', 'training']",🌿Green Flag,['dog']
"Dog whisperer, human negotiator","['dog', 'whisperer', 'human', 'negotiator']",🌿Green Flag,"['dog', 'human']"
"Loves pets, avoids serious discussions.","['love', 'pet', 'avoids', 'serious', 'discussion']",🌿Green Flag,['love']
"Wine fan, flaky.","['wine', 'fan', 'flaky']",🤷‍♂️No Clear Signal,[]
pizza > pasta,"['pizza', 'pasta']",🌿Green Flag,['pizza']
"Snack first, questions later","['snack', 'first', 'question', 'later']",🤷‍♂️No Clear Signal,[]
emojis > words,"['emojis', 'word']",🤷‍♂️No Clear Signal,[]
Currently mastering the art of doing nothing,"['currently', 'mastering', 'art', 'nothing']",🤷‍♂️No Clear Signal,[]
I dance like chaos incarnate,"['dance', 'like', 'chaos', 'incarnate']",🚩Red Flag,['chaos']
taco lover,"['taco', 'lover']",🌿Green Flag,['lover']
pizza over love,"['pizza', 'love']",🌿Green Flag,"['pizza', 'love']"
i nap a lot,"['nap', 'lot']",🤷‍♂️No Clear Signal,[]
Loves hiking but hates bugs.,"['love', 'hiking', 'hate', 'bug']",🌿Green Flag,['love']
short temper but loyal af,"['short', 'temper', 'loyal', 'af']",🤷‍♂️No Clear Signal,[]
gentle soul with sharp jokes,"['gentle', 'soul', 'sharp', 'joke']",🌿Green Flag,['soul']
my dog is my therapist,"['dog', 'therapist']",🌿Green Flag,['dog']
Loves karaoke and bad singing.,"['love', 'karaoke', 'bad', 'singing']",🙂Mixed Signal,"['love', 'bad']"
single AF,"['single', 'af']",🤷‍♂️No Clear Signal,[]
introvert problems,"['introvert', 'problem']",🤷‍♂️No Clear Signal,[]
"Loves road trips, flaky mid-trip.","['love', 'road', 'trip', 'flaky', 'midtrip']",🌿Green Flag,['love']
Currently ignoring adulthood creatively,"['currently', 'ignoring', 'adulthood', 'creatively']",🤷‍♂️No Clear Signal,[]
I love animals more than humans.,"['love', 'animal', 'human']",🌿Green Flag,"['love', 'human']"
“hi” is my vibe,"['hi', 'vibe']",🤷‍♂️No Clear Signal,[]
probably online rn,"['probably', 'online', 'rn']",🤷‍♂️No Clear Signal,[]
"Coffee in the morning, chaos in the evening.","['coffee', 'morning', 'chaos', 'evening']",🙂Mixed Signal,"['coffee', 'morning', 'chaos']"
Fitness enthusiast with a love for chocolate.,"['fitness', 'enthusiast', 'love', 'chocolate']",🌿Green Flag,"['enthusiast', 'love']"
overthink & binge watch,"['overthink', 'binge', 'watch']",🚩Red Flag,['overthink']
bad at directions,"['bad', 'direction']",🚩Red Flag,['bad']
Just here for awkward conversations,"['awkward', 'conversation']",🤷‍♂️No Clear Signal,[]
"Amateur dancer, professional overthinker.","['amateur', 'dancer', 'professional', 'overthinker']",🌿Green Flag,['professional']
"Loves coffee, chaos, and cuddle sessions.","['love', 'coffee', 'chaos', 'cuddle', 'session']",🙂Mixed Signal,"['love', 'coffee', 'chaos']"
"Amateur painter, daydreamer, chaos seeker.","['amateur', 'painter', 'daydreamer', 'chaos', 'seeker']",🚩Red Flag,['chaos']
"Adventure junkie, flaky with commitments.","['adventure', 'junkie', 'flaky', 'commitment']",🤷‍♂️No Clear Signal,[]
I ghost cause I get nervous,"['ghost', 'cause', 'get', 'nervous']",🚩Red Flag,['ghost']
Netflix marathoner searching for a cuddle buddy.,"['netflix', 'marathoner', 'searching', 'cuddle', 'buddy']",🤷‍♂️No Clear Signal,[]
I know what I want. Also know how to communicate it.,"['know', 'want', 'also', 'know', 'communicate']",🌿Green Flag,['communicate']
I don’t ghost. I don’t flake. I don’t play.,"['dont', 'ghost', 'dont', 'flake', 'dont', 'play']",🙂Mixed Signal,"['dont', 'dont', 'dont', 'ghost', 'flake']"
"Smiles, sarcasm, and bad dance moves 😁💃","['smile', 'sarcasm', 'bad', 'dance', 'move']",🚩Red Flag,"['sarcasm', 'bad']"
"Could ghost, could obsess. 😶💘","['could', 'ghost', 'could', 'obsess']",🚩Red Flag,['ghost']
single but thriving,"['single', 'thriving']",🤷‍♂️No Clear Signal,[]
Sarcastic with a hint of sweetness. 😎🍬,"['sarcastic', 'hint', 'sweetness']",🤷‍♂️No Clear Signal,[]
"I overthink everything, including this bio.","['overthink', 'everything', 'including', 'bio']",🚩Red Flag,['overthink']
"I ghost, but I leave memes","['ghost', 'leave', 'meme']",🚩Red Flag,['ghost']
"Loves beaches, disappears mid-weekend.","['love', 'beach', 'disappears', 'midweekend']",🌿Green Flag,['love']
emojis > words,"['emojis', 'word']",🤷‍♂️No Clear Signal,[]
I don’t date to pass time. I date with intention.,"['dont', 'date', 'pas', 'time', 'date', 'intention']",🌿Green Flag,['dont']
love food more than ppl,"['love', 'food', 'ppl']",🌿Green Flag,['love']
"I’m the upgrade, not the option","['im', 'upgrade', 'option']",🤷‍♂️No Clear Signal,[]
i’m always down to talk about books or boundaries,"['im', 'always', 'talk', 'book', 'boundary']",🌿Green Flag,['always']
"Love adventure, fear mundane.","['love', 'adventure', 'fear', 'mundane']",🌿Green Flag,['love']
pizza time,"['pizza', 'time']",🌿Green Flag,['pizza']
will steal ur hoodie and ur peace,"['steal', 'ur', 'hoodie', 'ur', 'peace']",🙂Mixed Signal,"['peace', 'steal']"
"Cat lover, ghosted friends.","['cat', 'lover', 'ghosted', 'friend']",🌿Green Flag,['lover']
therapist approved. 3 months symptom-free lol,"['therapist', 'approved', 'month', 'symptomfree', 'lol']",🤷‍♂️No Clear Signal,[]
"Dog mom, chaos queen.","['dog', 'mom', 'chaos', 'queen']",🙂Mixed Signal,"['dog', 'chaos']"
love dogs,"['love', 'dog']",🌿Green Flag,"['love', 'dog']"
Introverted extrovert seeking same,"['introverted', 'extrovert', 'seeking']",🤷‍♂️No Clear Signal,[]
Introvert seeking mutual ignoring,"['introvert', 'seeking', 'mutual', 'ignoring']",🤷‍♂️No Clear Signal,[]
obsessed w reality tv,"['obsessed', 'w', 'reality', 'tv']",🚩Red Flag,['obsessed']
"Can cook 5-star meals, ghosted on last birthday.","['cook', 'star', 'meal', 'ghosted', 'last', 'birthday']",🤷‍♂️No Clear Signal,[]
"Adventure junkie, flaky.","['adventure', 'junkie', 'flaky']",🤷‍♂️No Clear Signal,[]
Bookworm looking for a plot twist in life.,"['bookworm', 'looking', 'plot', 'twist', 'life']",🌿Green Flag,"['bookworm', 'life']"
Obsessed with astrology… and controlling schedules. ♈,"['obsessed', 'astrology', 'controlling', 'schedule']",🚩Red Flag,['obsessed']
"Loves hiking, sunsets, and dogs.","['love', 'hiking', 'sunset', 'dog']",🌿Green Flag,"['love', 'dog']"
i overreact,['overreact'],🤷‍♂️No Clear Signal,[]
naps > anything,"['nap', 'anything']",🤷‍♂️No Clear Signal,[]
Therapist says i’m emotionally available now lol,"['therapist', 'say', 'im', 'emotionally', 'available', 'lol']",🤷‍♂️No Clear Signal,[]
Always down for karaoke and midnight ice cream runs.,"['always', 'karaoke', 'midnight', 'ice', 'cream', 'run']",🌿Green Flag,['always']
I’m fun i swear,"['im', 'fun', 'swear']",🤷‍♂️No Clear Signal,[]
tacos pls,"['taco', 'pls']",🤷‍♂️No Clear Signal,[]
i love long drives,"['love', 'long', 'drive']",🌿Green Flag,['love']
coffee > responsibilities,"['coffee', 'responsibility']",🌿Green Flag,['coffee']
laughs too loud,"['laugh', 'loud']",🌿Green Flag,['laugh']
Recovering overthinker seeking chaos partner,"['recovering', 'overthinker', 'seeking', 'chaos', 'partner']",🚩Red Flag,['chaos']
your future ex,"['future', 'ex']",🚩Red Flag,['ex']
Introvert seeking mutual ignoring,"['introvert', 'seeking', 'mutual', 'ignoring']",🤷‍♂️No Clear Signal,[]
Currently avoiding all responsibilities,"['currently', 'avoiding', 'responsibility']",🤷‍♂️No Clear Signal,[]
"i pay my bills, text back fast, and keep plants alive. also i will overanalyze your choice of “lol” vs “lmao.”","['pay', 'bill', 'text', 'back', 'fast', 'keep', 'plant', 'alive', 'also', 'overanalyze', 'choice', 'lol', 'v', 'lmao']",🤷‍♂️No Clear Signal,[]
"you’ll never meet another me, and that’s a threat","['youll', 'never', 'meet', 'another', 'thats', 'threat']",🚩Red Flag,['threat']
likes small adventures,"['like', 'small', 'adventure']",🌿Green Flag,['small']
i double text a lot,"['double', 'text', 'lot']",🤷‍♂️No Clear Signal,[]
Living for spontaneous road trips 🚗🌄,"['living', 'spontaneous', 'road', 'trip']",🤷‍♂️No Clear Signal,[]
"I overanalyze, then shrug.","['overanalyze', 'shrug']",🤷‍♂️No Clear Signal,[]
loyalty’s cute. money’s cuter,"['loyalty', 'cute', 'money', 'cuter']",🌿Green Flag,['loyalty']
"Pizza in the morning, pizza in the evening 🍕💖","['pizza', 'morning', 'pizza', 'evening']",🌿Green Flag,"['pizza', 'morning', 'pizza']"
Gamer seeking co-pilot for life adventures.,"['gamer', 'seeking', 'copilot', 'life', 'adventure']",🌿Green Flag,['life']
i overanalyze everything,"['overanalyze', 'everything']",🤷‍♂️No Clear Signal,[]
"Pizza is love, pizza is life 🍕💖","['pizza', 'love', 'pizza', 'life']",🌿Green Flag,"['pizza', 'love', 'pizza', 'life']"
nerd alert 🤓,"['nerd', 'alert']",🤷‍♂️No Clear Signal,[]
Currently avoiding adulthood like a pro,"['currently', 'avoiding', 'adulthood', 'like', 'pro']",🤷‍♂️No Clear Signal,[]
just me,[],🤷‍♂️No Clear Signal,[]
"Looking for someone to steal my fries, not my heart","['looking', 'someone', 'steal', 'fry', 'heart']",🚩Red Flag,['steal']
chaos queen,"['chaos', 'queen']",🚩Red Flag,['chaos']
hi? lol,"['hi', 'lol']",🤷‍♂️No Clear Signal,[]
Obsessed with ice cream and chocolate.,"['obsessed', 'ice', 'cream', 'chocolate']",🚩Red Flag,['obsessed']
Amateur chef seeking taste tester.,"['amateur', 'chef', 'seeking', 'taste', 'tester']",🤷‍♂️No Clear Signal,[]
"Red flags? nah baby, i’m the parade","['red', 'flag', 'nah', 'baby', 'im', 'parade']",🚩Red Flag,['flag']
messy bun & chaos,"['messy', 'bun', 'chaos']",🚩Red Flag,"['messy', 'chaos']"
"Amateur poet, professional dreamer.","['amateur', 'poet', 'professional', 'dreamer']",🌿Green Flag,['professional']
"Snack provider, chaos bringer","['snack', 'provider', 'chaos', 'bringer']",🚩Red Flag,['chaos']
dramatic? maybe,"['dramatic', 'maybe']",🚩Red Flag,['dramatic']
never finishes books,"['never', 'finish', 'book']",🤷‍♂️No Clear Signal,[]
tacos & coffee,"['taco', 'coffee']",🌿Green Flag,['coffee']
Currently avoiding adulthood at all costs,"['currently', 'avoiding', 'adulthood', 'cost']",🤷‍♂️No Clear Signal,[]
"i ghost, come back sometimes","['ghost', 'come', 'back', 'sometimes']",🚩Red Flag,['ghost']
Caffeine-dependent disaster,"['caffeinedependent', 'disaster']",🤷‍♂️No Clear Signal,[]
I’m adventurous but clingy sometimes.,"['im', 'adventurous', 'clingy', 'sometimes']",🌿Green Flag,['clingy']
i will stalk your ex. don’t test me,"['stalk', 'ex', 'dont', 'test']",🙂Mixed Signal,"['dont', 'ex']"
Flirting: chaotic but cute,"['flirting', 'chaotic', 'cute']",🤷‍♂️No Clear Signal,[]
"Obsessed with dogs, sunsets, and street food.","['obsessed', 'dog', 'sunset', 'street', 'food']",🙂Mixed Signal,"['dog', 'obsessed']"
I text back late on purpose sometimes.,"['text', 'back', 'late', 'purpose', 'sometimes']",🤷‍♂️No Clear Signal,[]
"Pizza first, life second","['pizza', 'first', 'life', 'second']",🌿Green Flag,"['pizza', 'life']"
pizza & sarcasm,"['pizza', 'sarcasm']",🙂Mixed Signal,"['pizza', 'sarcasm']"
extroverted introvert,"['extroverted', 'introvert']",🤷‍♂️No Clear Signal,[]
"I binge memes, avoid responsibility.","['binge', 'meme', 'avoid', 'responsibility']",🤷‍♂️No Clear Signal,[]
Living life with laughter and coffee ☕😂,"['living', 'life', 'laughter', 'coffee']",🌿Green Flag,"['life', 'coffee']"
Flirt dangerously,"['flirt', 'dangerously']",🚩Red Flag,['flirt']
drinks coffee constantly,"['drink', 'coffee', 'constantly']",🌿Green Flag,['coffee']
love sarcasm,"['love', 'sarcasm']",🙂Mixed Signal,"['love', 'sarcasm']"
"I laugh too loud, think too much.","['laugh', 'loud', 'think', 'much']",🌿Green Flag,['laugh']
messy bun & chill,"['messy', 'bun', 'chill']",🙂Mixed Signal,"['chill', 'messy']"
i love toxic men. it’s a hobby,"['love', 'toxic', 'men', 'hobby']",🙂Mixed Signal,"['love', 'toxic']"
Hiker seeking mountain partner.,"['hiker', 'seeking', 'mountain', 'partner']",🤷‍♂️No Clear Signal,[]
"Loves music, hates silence. 🎶❌","['love', 'music', 'hate', 'silence']",🌿Green Flag,['love']
my dog picks my dates,"['dog', 'pick', 'date']",🌿Green Flag,['dog']
single af,"['single', 'af']",🤷‍♂️No Clear Signal,[]
"Music, laughter, and spontaneous fun 🎶😂","['music', 'laughter', 'spontaneous', 'fun']",🤷‍♂️No Clear Signal,[]
"Can be sweet, can be savage—depends on my mood.","['sweet', 'savagedepends', 'mood']",🤷‍♂️No Clear Signal,[]
Gamer seeking co-pilot for life.,"['gamer', 'seeking', 'copilot', 'life']",🌿Green Flag,['life']
"I care too little, then too much.","['care', 'little', 'much']",🤷‍♂️No Clear Signal,[]
"I plan adventures, skip responsibilities.","['plan', 'adventure', 'skip', 'responsibility']",🤷‍♂️No Clear Signal,[]
Pro at awkward silences,"['pro', 'awkward', 'silence']",🤷‍♂️No Clear Signal,[]
"Coffee addict, book hoarder, chaos lover.","['coffee', 'addict', 'book', 'hoarder', 'chaos', 'lover']",🙂Mixed Signal,"['coffee', 'lover', 'chaos']"
"Amateur painter, professional daydreamer.","['amateur', 'painter', 'professional', 'daydreamer']",🌿Green Flag,['professional']
loves chocolate 🍫,"['love', 'chocolate']",🌿Green Flag,['love']
Sarcasm is my love language,"['sarcasm', 'love', 'language']",🙂Mixed Signal,"['love', 'sarcasm']"
gym & memes,"['gym', 'meme']",🤷‍♂️No Clear Signal,[]
"Loves sarcasm, hates small talk.","['love', 'sarcasm', 'hate', 'small', 'talk']",🙂Mixed Signal,"['love', 'small', 'sarcasm']"
emotionally unavailable but great in bed,"['emotionally', 'unavailable', 'great', 'bed']",🚩Red Flag,['unavailable']
"Sweet, spicy, slightly dramatic. 🍬🌶️🎭","['sweet', 'spicy', 'slightly', 'dramatic']",🚩Red Flag,['dramatic']
Nap enthusiast and professional snack hunter 😴🍿,"['nap', 'enthusiast', 'professional', 'snack', 'hunter']",🌿Green Flag,"['enthusiast', 'professional']"
Flirting like it’s my full-time job,"['flirting', 'like', 'fulltime', 'job']",🤷‍♂️No Clear Signal,[]
"Gamer, avoids emotional depth.","['gamer', 'avoids', 'emotional', 'depth']",🌿Green Flag,['emotional']
not toxic. just honest.,"['toxic', 'honest']",🙂Mixed Signal,"['honest', 'toxic']"
pizza and chill,"['pizza', 'chill']",🌿Green Flag,"['pizza', 'chill']"
"Dog mom, chaos enthusiast","['dog', 'mom', 'chaos', 'enthusiast']",🙂Mixed Signal,"['dog', 'enthusiast', 'chaos']"
"Passionate about painting, avoids deep conversations.","['passionate', 'painting', 'avoids', 'deep', 'conversation']",🌿Green Flag,['deep']
"Gym enthusiast, sometimes judgmental.","['gym', 'enthusiast', 'sometimes', 'judgmental']",🌿Green Flag,['enthusiast']
"Cat cuddler, Netflix binge lover.","['cat', 'cuddler', 'netflix', 'binge', 'lover']",🌿Green Flag,['lover']
pizza time,"['pizza', 'time']",🌿Green Flag,['pizza']
"I care too much, ghost too often.","['care', 'much', 'ghost', 'often']",🚩Red Flag,['ghost']
I overthink and nap simultaneously,"['overthink', 'nap', 'simultaneously']",🚩Red Flag,['overthink']
coffee addict ☕,"['coffee', 'addict']",🌿Green Flag,['coffee']
