bio,bio_cleaned,tokens,filtered_tokens,lemmatized_tokens
"Marathon runner, occasionally selfish.",marathon runner occasionally selfish,"['marathon', 'runner', 'occasionally', 'selfish']","['marathon', 'runner', 'occasionally', 'selfish']","['marathon', 'runner', 'occasionally', 'selfish']"
i nap anywhere,i nap anywhere,"['i', 'nap', 'anywhere']","['nap', 'anywhere']","['nap', 'anywhere']"
"Music over everything, but I’ll hum your favorite. 🎧🎵",music over everything but ill hum your favorite,"['music', 'over', 'everything', 'but', 'ill', 'hum', 'your', 'favorite']","['music', 'everything', 'ill', 'hum', 'favorite']","['music', 'everything', 'hum', 'favorite']"
Gamer seeking co-op partner.,gamer seeking coop partner,"['gamer', 'seeking', 'coop', 'partner']","['gamer', 'seeking', 'coop', 'partner']","['gamer', 'seek', 'partner']"
chill but intentional. open but grounded.,chill but intentional open but grounded,"['chill', 'but', 'intentional', 'open', 'but', 'grounded']","['chill', 'intentional', 'open', 'grounded']","['chill', 'intentional', 'open', 'ground']"
overdramatic,overdramatic,['overdramatic'],['overdramatic'],['overdramatic']
i laugh weirdly,i laugh weirdly,"['i', 'laugh', 'weirdly']","['laugh', 'weirdly']","['laugh', 'weirdly']"
"I flirt, disappear, return with flowers.",i flirt disappear return with flowers,"['i', 'flirt', 'disappear', 'return', 'with', 'flowers']","['flirt', 'disappear', 'return', 'flowers']","['flirt', 'disappear', 'return', 'flower']"
"Adventure junkie, flakes mid-trip.",adventure junkie flakes midtrip,"['adventure', 'junkie', 'flakes', 'midtrip']","['adventure', 'junkie', 'flakes', 'midtrip']","['adventure', 'junkie', 'flake']"
"Sweet chaos, occasional calm.",sweet chaos occasional calm,"['sweet', 'chaos', 'occasional', 'calm']","['sweet', 'chaos', 'occasional', 'calm']","['sweet', 'chaos', 'occasional', 'calm']"
music is life,music is life,"['music', 'is', 'life']","['music', 'life']","['music', 'life']"
Will judge your memes silently,will judge your memes silently,"['will', 'judge', 'your', 'memes', 'silently']","['judge', 'memes', 'silently']","['judge', 'meme', 'silently']"
love horror movies,love horror movies,"['love', 'horror', 'movies']","['love', 'horror', 'movies']","['love', 'horror', 'movie']"
Pizza enthusiast and professional napper 🍕😴,pizza enthusiast and professional napper,"['pizza', 'enthusiast', 'and', 'professional', 'napper']","['pizza', 'enthusiast', 'professional', 'napper']","['pizza', 'enthusiast', 'professional', 'napper']"
i talk too much 😅,i talk too much,"['i', 'talk', 'too', 'much']","['talk', 'much']","['talk', 'much']"
"i pay my bills, text back fast, and keep plants alive. also i will overanalyze your choice of “lol” vs “lmao.”",i pay my bills text back fast and keep plants alive also i will overanalyze your choice of lol vs lmao,"['i', 'pay', 'my', 'bills', 'text', 'back', 'fast', 'and', 'keep', 'plants', 'alive', 'also', 'i', 'will', 'overanalyze', 'your', 'choice', 'of', 'lol', 'vs', 'lmao']","['pay', 'bills', 'text', 'back', 'fast', 'keep', 'plants', 'alive', 'also', 'overanalyze', 'choice', 'lol', 'vs', 'lmao']","['pay', 'bill', 'text', 'back', 'fast', 'keep', 'plant', 'alive', 'also', 'overanalyze', 'choice', 'lol', 'v', 'lmao']"
quiet but laughs,quiet but laughs,"['quiet', 'but', 'laughs']","['quiet', 'laughs']","['quiet', 'laugh']"
gym vibes only,gym vibes only,"['gym', 'vibes', 'only']","['gym', 'vibes']","['gym', 'vibe']"
"Foodie, ignores messages.",foodie ignores messages,"['foodie', 'ignores', 'messages']","['foodie', 'ignores', 'messages']","['foodie', 'ignores', 'message']"
Currently ignoring responsibilities,currently ignoring responsibilities,"['currently', 'ignoring', 'responsibilities']","['currently', 'ignoring', 'responsibilities']","['currently', 'ignore', 'responsibility']"
"Amateur painter, professional overthinker.",amateur painter professional overthinker,"['amateur', 'painter', 'professional', 'overthinker']","['amateur', 'painter', 'professional', 'overthinker']","['amateur', 'painter', 'professional', 'overthinker']"
"Loves philosophy, ignores texts for hours.",loves philosophy ignores texts for hours,"['loves', 'philosophy', 'ignores', 'texts', 'for', 'hours']","['loves', 'philosophy', 'ignores', 'texts', 'hours']","['love', 'philosophy', 'ignore', 'texts', 'hour']"
Caffeine-dependent life form ☕,caffeinedependent life form,"['caffeinedependent', 'life', 'form']","['caffeinedependent', 'life', 'form']","['life', 'form']"
chaotic brain alert,chaotic brain alert,"['chaotic', 'brain', 'alert']","['chaotic', 'brain', 'alert']","['chaotic', 'brain', 'alert']"
"Gamer, ghosted mid-week.",gamer ghosted midweek,"['gamer', 'ghosted', 'midweek']","['gamer', 'ghosted', 'midweek']","['gamer', 'ghost']"
lol idk,lol idk,"['lol', 'idk']","['lol', 'idk']","['lol', 'idk']"
TRAVEL IS LIFE,travel is life,"['travel', 'is', 'life']","['travel', 'life']","['travel', 'life']"
tacos pls,tacos pls,"['tacos', 'pls']","['tacos', 'pls']","['taco', 'pls']"
"Beach walks, late-night ice cream, good vibes.",beach walks latenight ice cream good vibes,"['beach', 'walks', 'latenight', 'ice', 'cream', 'good', 'vibes']","['beach', 'walks', 'latenight', 'ice', 'cream', 'good', 'vibes']","['beach', 'walk', 'ice', 'cream', 'good', 'vibe']"
might cry today,might cry today,"['might', 'cry', 'today']","['might', 'cry', 'today']","['might', 'cry', 'today']"
"I flirt, ghost, return dramatically.",i flirt ghost return dramatically,"['i', 'flirt', 'ghost', 'return', 'dramatically']","['flirt', 'ghost', 'return', 'dramatically']","['flirt', 'ghost', 'return', 'dramatically']"
"Avid reader, bad dancer, good listener.",avid reader bad dancer good listener,"['avid', 'reader', 'bad', 'dancer', 'good', 'listener']","['avid', 'reader', 'bad', 'dancer', 'good', 'listener']","['avid', 'reader', 'bad', 'dancer', 'good', 'listener']"
i like coffee strong,i like coffee strong,"['i', 'like', 'coffee', 'strong']","['like', 'coffee', 'strong']","['like', 'coffee', 'strong']"
memes > humans,memes  humans,"['memes', 'humans']","['memes', 'humans']","['meme', 'human']"
Introvert with social anxiety,introvert with social anxiety,"['introvert', 'with', 'social', 'anxiety']","['introvert', 'social', 'anxiety']","['introvert', 'social', 'anxiety']"
"Obsessed with street food, music, and laughter.",obsessed with street food music and laughter,"['obsessed', 'with', 'street', 'food', 'music', 'and', 'laughter']","['obsessed', 'street', 'food', 'music', 'laughter']","['obsess', 'street', 'food', 'music', 'laughter']"
tacos before talkies,tacos before talkies,"['tacos', 'before', 'talkies']","['tacos', 'talkies']","['taco', 'talkie']"
Flirting like it’s my full-time job,flirting like its my fulltime job,"['flirting', 'like', 'its', 'my', 'fulltime', 'job']","['flirting', 'like', 'fulltime', 'job']","['flirt', 'like', 'job']"
just here to vibe,just here to vibe,"['just', 'here', 'to', 'vibe']",['vibe'],['vibe']
casual & fun,casual  fun,"['casual', 'fun']","['casual', 'fun']","['casual', 'fun']"
"Introverted extrovert, mostly introvert",introverted extrovert mostly introvert,"['introverted', 'extrovert', 'mostly', 'introvert']","['introverted', 'extrovert', 'mostly', 'introvert']","['introvert', 'extrovert', 'mostly', 'introvert']"
"Adventure junkie, flaky mid-week.",adventure junkie flaky midweek,"['adventure', 'junkie', 'flaky', 'midweek']","['adventure', 'junkie', 'flaky', 'midweek']","['adventure', 'junkie', 'flaky']"
"I trip over nothing, impressively",i trip over nothing impressively,"['i', 'trip', 'over', 'nothing', 'impressively']","['trip', 'nothing', 'impressively']","['trip', 'nothing', 'impressively']"
Humor is my coping skill. Also therapy.,humor is my coping skill also therapy,"['humor', 'is', 'my', 'coping', 'skill', 'also', 'therapy']","['humor', 'coping', 'skill', 'also', 'therapy']","['humor', 'cop', 'skill', 'also', 'therapy']"
"Pizza lover, meme curator, coffee addict 🍕😂☕",pizza lover meme curator coffee addict,"['pizza', 'lover', 'meme', 'curator', 'coffee', 'addict']","['pizza', 'lover', 'meme', 'curator', 'coffee', 'addict']","['pizza', 'lover', 'meme', 'curator', 'coffee', 'addict']"
"Dog mom, chaos enthusiast",dog mom chaos enthusiast,"['dog', 'mom', 'chaos', 'enthusiast']","['dog', 'mom', 'chaos', 'enthusiast']","['dog', 'mom', 'chaos', 'enthusiast']"
hot girl with no emotional regulation,hot girl with no emotional regulation,"['hot', 'girl', 'with', 'no', 'emotional', 'regulation']","['hot', 'girl', 'emotional', 'regulation']","['hot', 'girl', 'emotional', 'regulation']"
messy & chaotic,messy  chaotic,"['messy', 'chaotic']","['messy', 'chaotic']","['messy', 'chaotic']"
loves tattoo culture,loves tattoo culture,"['loves', 'tattoo', 'culture']","['loves', 'tattoo', 'culture']","['love', 'tattoo', 'culture']"
messy bun & coffee,messy bun  coffee,"['messy', 'bun', 'coffee']","['messy', 'bun', 'coffee']","['messy', 'bun', 'coffee']"
Will challenge you to Mario Kart and crush your soul,will challenge you to mario kart and crush your soul,"['will', 'challenge', 'you', 'to', 'mario', 'kart', 'and', 'crush', 'your', 'soul']","['challenge', 'mario', 'kart', 'crush', 'soul']","['challenge', 'mario', 'kart', 'crush', 'soul']"
naps > parties,naps  parties,"['naps', 'parties']","['naps', 'parties']","['nap', 'party']"
please don’t trauma dump unless it’s interesting,please dont trauma dump unless its interesting,"['please', 'dont', 'trauma', 'dump', 'unless', 'its', 'interesting']","['please', 'dont', 'trauma', 'dump', 'unless', 'interesting']","['please', 'trauma', 'dump', 'unless', 'interest']"
Gym rat who can cook a mean pasta.,gym rat who can cook a mean pasta,"['gym', 'rat', 'who', 'can', 'cook', 'a', 'mean', 'pasta']","['gym', 'rat', 'cook', 'mean', 'pasta']","['gym', 'rat', 'cook', 'mean', 'pasta']"
pizza & naps,pizza  naps,"['pizza', 'naps']","['pizza', 'naps']","['pizza', 'nap']"
Professional Netflix marathoner,professional netflix marathoner,"['professional', 'netflix', 'marathoner']","['professional', 'netflix', 'marathoner']","['professional', 'netflix', 'marathoner']"
"Love adventure, fear mundane.",love adventure fear mundane,"['love', 'adventure', 'fear', 'mundane']","['love', 'adventure', 'fear', 'mundane']","['love', 'adventure', 'fear', 'mundane']"
Fitness and dessert balance is key.,fitness and dessert balance is key,"['fitness', 'and', 'dessert', 'balance', 'is', 'key']","['fitness', 'dessert', 'balance', 'key']","['fitness', 'dessert', 'balance', 'key']"
might annoy u,might annoy u,"['might', 'annoy', 'u']","['might', 'annoy', 'u']","['might', 'annoy']"
obsessed w stars,obsessed w stars,"['obsessed', 'w', 'stars']","['obsessed', 'w', 'stars']","['obsessed', 'star']"
sad boi hours,sad boi hours,"['sad', 'boi', 'hours']","['sad', 'boi', 'hours']","['sad', 'boi', 'hour']"
pizza > life,pizza  life,"['pizza', 'life']","['pizza', 'life']","['pizza', 'life']"
loves spontaneous fun,loves spontaneous fun,"['loves', 'spontaneous', 'fun']","['loves', 'spontaneous', 'fun']","['love', 'spontaneous', 'fun']"
Loves spontaneous adventures and bad decisions.,loves spontaneous adventures and bad decisions,"['loves', 'spontaneous', 'adventures', 'and', 'bad', 'decisions']","['loves', 'spontaneous', 'adventures', 'bad', 'decisions']","['love', 'spontaneous', 'adventure', 'bad', 'decision']"
Introverted extrovert,introverted extrovert,"['introverted', 'extrovert']","['introverted', 'extrovert']","['introvert', 'extrovert']"
i sing badly,i sing badly,"['i', 'sing', 'badly']","['sing', 'badly']","['sing', 'badly']"
just me,just me,"['just', 'me']",[],[]
could be your ex,could be your ex,"['could', 'be', 'your', 'ex']","['could', 'ex']","['could', 'ex']"
Gamer seeking co-pilot for life adventures.,gamer seeking copilot for life adventures,"['gamer', 'seeking', 'copilot', 'for', 'life', 'adventures']","['gamer', 'seeking', 'copilot', 'life', 'adventures']","['gamer', 'seek', 'life', 'adventure']"
sleepy af always,sleepy af always,"['sleepy', 'af', 'always']","['sleepy', 'af', 'always']","['sleepy', 'af', 'always']"
tacos over humans,tacos over humans,"['tacos', 'over', 'humans']","['tacos', 'humans']","['taco', 'human']"
Gamer seeking partner for co-op chaos.,gamer seeking partner for coop chaos,"['gamer', 'seeking', 'partner', 'for', 'coop', 'chaos']","['gamer', 'seeking', 'partner', 'coop', 'chaos']","['gamer', 'seek', 'partner', 'chaos']"
drama free unless provoked,drama free unless provoked,"['drama', 'free', 'unless', 'provoked']","['drama', 'free', 'unless', 'provoked']","['drama', 'free', 'unless', 'provoke']"
"Yoga enthusiast, flaky.",yoga enthusiast flaky,"['yoga', 'enthusiast', 'flaky']","['yoga', 'enthusiast', 'flaky']","['yoga', 'enthusiast', 'flaky']"
"sarcastic, but never mean.",sarcastic but never mean,"['sarcastic', 'but', 'never', 'mean']","['sarcastic', 'never', 'mean']","['sarcastic', 'never', 'mean']"
gentle soul with sharp jokes,gentle soul with sharp jokes,"['gentle', 'soul', 'with', 'sharp', 'jokes']","['gentle', 'soul', 'sharp', 'jokes']","['gentle', 'soul', 'sharp', 'joke']"
Netflix > life,netflix  life,"['netflix', 'life']","['netflix', 'life']","['netflix', 'life']"
Obsessed with street food and photography.,obsessed with street food and photography,"['obsessed', 'with', 'street', 'food', 'and', 'photography']","['obsessed', 'street', 'food', 'photography']","['obsess', 'street', 'food', 'photography']"
professional napper,professional napper,"['professional', 'napper']","['professional', 'napper']","['professional', 'napper']"
I’m proud of the person I’ve become. Hope you are too.,im proud of the person ive become hope you are too,"['im', 'proud', 'of', 'the', 'person', 'ive', 'become', 'hope', 'you', 'are', 'too']","['im', 'proud', 'person', 'ive', 'become', 'hope']","['proud', 'person', 'become', 'hope']"
messy & fun vibes,messy  fun vibes,"['messy', 'fun', 'vibes']","['messy', 'fun', 'vibes']","['messy', 'fun', 'vibe']"
"if you can’t keep up, don’t start",if you cant keep up dont start,"['if', 'you', 'cant', 'keep', 'up', 'dont', 'start']","['cant', 'keep', 'dont', 'start']","['keep', 'start']"
"I plan adventures, nap often.",i plan adventures nap often,"['i', 'plan', 'adventures', 'nap', 'often']","['plan', 'adventures', 'nap', 'often']","['plan', 'adventure', 'nap', 'often']"
introvert but extra sometimes,introvert but extra sometimes,"['introvert', 'but', 'extra', 'sometimes']","['introvert', 'extra', 'sometimes']","['introvert', 'extra', 'sometimes']"
Flirt level: dangerously chaotic,flirt level dangerously chaotic,"['flirt', 'level', 'dangerously', 'chaotic']","['flirt', 'level', 'dangerously', 'chaotic']","['flirt', 'level', 'dangerously', 'chaotic']"
Currently ignoring responsibilities creatively,currently ignoring responsibilities creatively,"['currently', 'ignoring', 'responsibilities', 'creatively']","['currently', 'ignoring', 'responsibilities', 'creatively']","['currently', 'ignore', 'responsibility', 'creatively']"
pizza & chaos forever,pizza  chaos forever,"['pizza', 'chaos', 'forever']","['pizza', 'chaos', 'forever']","['pizza', 'chaos', 'forever']"
i read horoscopes daily,i read horoscopes daily,"['i', 'read', 'horoscopes', 'daily']","['read', 'horoscopes', 'daily']","['read', 'horoscope', 'daily']"
lazy & cute,lazy  cute,"['lazy', 'cute']","['lazy', 'cute']","['lazy', 'cute']"
"I laugh at sarcasm, love deep talks.",i laugh at sarcasm love deep talks,"['i', 'laugh', 'at', 'sarcasm', 'love', 'deep', 'talks']","['laugh', 'sarcasm', 'love', 'deep', 'talks']","['laugh', 'sarcasm', 'love', 'deep', 'talk']"
Movie nerd seeking co-pilot in life.,movie nerd seeking copilot in life,"['movie', 'nerd', 'seeking', 'copilot', 'in', 'life']","['movie', 'nerd', 'seeking', 'copilot', 'life']","['movie', 'nerd', 'seek', 'life']"
"Obsessed with photography, street food, and coffee.",obsessed with photography street food and coffee,"['obsessed', 'with', 'photography', 'street', 'food', 'and', 'coffee']","['obsessed', 'photography', 'street', 'food', 'coffee']","['obsess', 'photography', 'street', 'food', 'coffee']"
i sing in shower sometimes,i sing in shower sometimes,"['i', 'sing', 'in', 'shower', 'sometimes']","['sing', 'shower', 'sometimes']","['sing', 'shower', 'sometimes']"
cant adult today,cant adult today,"['cant', 'adult', 'today']","['cant', 'adult', 'today']","['cant', 'adult', 'today']"
"Professional overthinker, amateur chef 🤯🍳",professional overthinker amateur chef,"['professional', 'overthinker', 'amateur', 'chef']","['professional', 'overthinker', 'amateur', 'chef']","['professional', 'overthinker', 'amateur', 'chef']"
